num_docks_disabled,num_bikes_available,eightd_has_available_keys,is_returning,last_reported,num_ebikes_available,num_bikes_disabled,station_id,is_renting,station_status,is_installed,legacy_id,num_docks_available
0,8,False,1,1670169929,0,1,258,1,active,1,258,6
0,0,False,0,86400,0,0,259,0,out_of_service,0,259,0
0,0,False,0,86400,0,0,260,0,out_of_service,0,260,0
0,15,False,1,1670188490,0,0,271,1,active,1,271,0
1,9,False,1,1670196967,0,0,272,1,active,1,272,9
0,23,False,1,1670204307,0,2,273,1,active,1,273,15
0,14,False,1,1670205311,0,0,279,1,active,1,279,9
0,11,False,1,1670197570,0,0,280,1,active,1,280,8
0,17,False,1,1670207264,0,1,282,1,active,1,282,1
0,15,False,1,1670212259,0,0,296,1,active,1,296,8
0,1,False,1,1670213712,0,0,318,1,active,1,318,18
0,17,False,1,1670204087,0,1,319,1,active,1,319,9
0,9,False,1,1670189485,0,0,327,1,active,1,327,6
0,0,False,1,1670211838,0,0,328,1,active,1,328,15
0,8,False,1,1670207587,0,0,330,1,active,1,330,7
0,6,False,1,1670212187,0,1,331,1,active,1,331,8
0,12,False,1,1670215292,0,0,332,1,active,1,332,3
0,11,False,1,1670211968,0,1,333,1,active,1,333,13
0,14,False,1,1670205208,0,0,334,1,active,1,334,5
0,5,False,1,1670213380,0,0,335,1,active,1,335,14
0,7,False,1,1670162375,0,0,336,1,active,1,336,8
0,11,False,1,1670173504,0,1,337,1,active,1,337,3
1,9,False,1,1670215339,0,0,338,1,active,1,338,5
0,0,False,0,86400,0,0,339,0,out_of_service,0,339,0
0,9,False,1,1670147334,0,0,340,1,active,1,340,10
0,1,False,1,1670191485,0,0,341,1,active,1,341,14
0,9,False,1,1670210968,0,1,342,1,active,1,342,5
0,0,False,0,86400,0,0,343,0,out_of_service,0,343,0
0,12,False,1,1670203915,0,0,344,1,active,1,344,7
0,14,False,1,1670210918,0,1,345,1,active,1,345,4
0,5,False,1,1670210367,0,0,346,1,active,1,346,10
0,0,False,0,86400,0,0,347,0,out_of_service,0,347,0
0,11,False,1,1670213241,0,0,348,1,active,1,348,4
0,1,True,1,1670147641,0,3,349,1,active,1,349,13
0,2,False,1,1670147955,0,0,350,1,active,1,350,15
0,14,False,1,1670172572,0,0,351,1,active,1,351,1
0,0,False,0,1655990752,0,0,352,0,out_of_service,0,352,15
