last_reported,is_installed,num_bikes_disabled,num_ebikes_available,num_bikes_available,eightd_has_available_keys,num_docks_available,station_id,station_status,is_returning,num_docks_disabled,is_renting,legacy_id
1670214924,1,3,0,5,False,14,356,active,1,1,1,356
86400,0,0,0,0,False,0,357,out_of_service,0,0,0,357
1670213447,1,0,0,7,False,12,358,active,1,0,1,358
1670219775,1,1,0,0,False,14,359,active,1,0,1,359
1670214574,1,0,0,12,False,3,360,active,1,0,1,360
1670219589,1,0,0,8,False,11,361,active,1,0,1,361
1670188186,1,0,0,13,False,6,362,active,1,0,1,362
1670218393,1,0,0,14,False,5,363,active,1,0,1,363
1670215941,1,1,0,9,False,9,364,active,1,0,1,364
1670198287,1,0,0,0,False,19,365,active,1,0,1,365
86400,0,0,0,0,False,0,366,out_of_service,1,0,1,366
1670207277,1,0,0,6,False,13,367,active,1,0,1,367
86400,0,0,0,0,False,0,368,out_of_service,0,0,0,368
86400,0,0,0,0,False,0,369,out_of_service,1,0,1,369
1670215498,1,2,0,13,False,4,370,active,1,0,1,370
1670211393,1,1,0,8,False,10,371,active,1,0,1,371
1670212790,1,1,0,14,False,4,372,active,1,0,1,372
1670173413,1,1,0,3,False,11,373,active,1,0,1,373
1670213221,1,0,0,13,False,6,374,active,1,0,1,374
1670211063,1,0,0,2,False,13,376,active,1,0,1,376
1670216476,1,1,0,18,False,0,377,active,1,0,1,377
1670214605,1,0,0,10,False,9,378,active,1,0,1,378
1670210425,1,0,0,2,False,12,379,active,1,1,1,379
1670214960,1,0,0,2,False,16,380,active,1,0,1,380
1670211194,1,0,0,23,False,2,381,active,1,0,1,381
86400,0,0,0,0,False,0,384,out_of_service,0,0,0,384
1670200714,1,0,0,15,False,0,385,active,1,0,1,385
1670215601,1,1,0,14,False,4,386,active,1,0,1,386
1670178304,1,0,0,13,False,2,387,active,1,0,1,387
1670218102,1,0,0,4,False,10,389,active,1,0,1,389
1670217400,1,0,0,8,False,7,390,active,1,0,1,390
1670208216,1,0,0,8,False,7,391,active,1,0,1,391
1670209741,1,0,0,12,False,3,392,active,1,0,1,392
1670147640,1,0,0,9,False,6,393,active,1,0,1,393
1670186606,1,0,0,4,False,10,394,active,1,0,1,394
1670186245,1,0,0,8,False,7,395,active,1,0,1,395
1670197659,1,0,0,6,False,9,396,active,1,0,1,396
1670209079,1,0,0,6,False,9,397,active,1,0,1,397
1670215123,1,0,0,0,False,19,398,active,1,0,1,398
1670212215,1,0,0,10,False,5,399,active,1,0,1,399
1670206625,1,0,0,22,False,5,400,active,1,0,1,400
1670164896,1,0,0,6,False,9,401,active,1,0,1,401
1670210004,1,1,0,6,False,8,402,active,1,0,1,402
1670209249,1,0,0,12,False,3,403,active,1,0,1,403
1670213226,1,0,0,14,False,2,404,active,1,0,1,404
1670190143,1,0,0,14,False,5,405,active,1,0,1,405
86400,0,0,0,0,False,0,406,out_of_service,0,0,0,406
1670190658,1,0,0,8,False,7,408,active,1,0,1,408
86400,0,0,0,0,False,0,409,out_of_service,0,0,0,409
86400,0,0,0,0,False,0,410,out_of_service,0,0,0,410
86400,0,0,0,0,False,0,412,out_of_service,0,0,0,412
1670215075,1,0,0,9,False,10,413,active,1,0,1,413
1670211809,1,1,0,13,False,9,414,active,1,0,1,414
1670211563,1,1,0,14,False,4,415,active,1,0,1,415
1670211597,1,0,0,5,False,10,416,active,1,0,1,416
1670208313,1,2,0,9,False,8,417,active,1,0,1,417
1670210967,1,0,0,3,False,12,419,active,1,0,1,419
86400,0,0,0,0,False,0,420,out_of_service,0,0,0,420
86400,0,0,0,0,False,0,421,out_of_service,0,0,0,421
1670191880,1,0,0,7,False,8,422,active,1,0,1,422
